,Frequency,Lambda,Org_X,Org_Y,Org_Mag,Pred_X,Pred_Y,Pred_Mag
115,25.0,9.3115577889447,0.2997755408287,-0.60040670633316,0.6710838903512533,0.29709860902362945,-0.5993127566748706,0.6689120747878664
116,25.0,9.3316582914573,0.2915655374527,-0.59736847877502,0.6647251778472538,0.28846973169100115,-0.5960187862854761,0.6621579718670539
117,25.0,9.3517587939699,0.28316608071327,-0.59370642900467,0.6577768262169102,0.27986045829808937,-0.5925513289343651,0.6553159188824111
118,25.0,9.3718592964824,0.27494615316391,-0.59029793739319,0.651188944953987,0.27127781558801856,-0.5889103556668864,0.6483880475779189
119,25.0,9.391959798995,0.26670444011688,-0.58673965930939,0.6445111994252368,0.26272869509283314,-0.5850960121987778,0.6413764188961856
120,25.0,9.4120603015075,0.25841745734215,-0.58296293020248,0.6376718280192748,0.2542198278315887,-0.5811086113185593,0.6342830117631301
121,25.0,9.4321608040201,0.25021153688431,-0.5790354013443,0.6307834883697916,0.24575775839552846,-0.5769486099675651,0.6271096988207889
122,25.0,9.4522613065327,0.24195605516434,-0.57491302490234,0.6237529309214088,0.23734882320305878,-0.5726165991486163,0.619858236612537
123,25.0,9.4723618090452,0.23373900353909,-0.5706262588501,0.6166427240020822,0.22899912650213342,-0.5681132828901998,0.6125302458940458
124,25.0,9.4924623115578,0.22552099823952,-0.56613677740097,0.6094018143826823,0.22071452671100572,-0.563439455980957,0.6051271956021974
125,25.0,9.5125628140704,0.21733605861664,-0.5614669919014,0.6020632403409316,0.2125006182188398,-0.558595998583934,0.5976504014700998
126,25.0,9.5326633165829,0.20925895869732,-0.55664312839508,0.5946771259974174,0.2043627208968195,-0.5535838336275305,0.5901009935139109
127,25.0,9.5527638190955,0.20114395022392,-0.55159878730774,0.5871287004320707,0.19630586978547832,-0.5484039301337746,0.5824799267772265
128,25.0,9.572864321608,0.1930785626173,-0.54636836051941,0.5794805576712911,0.18833481152429893,-0.543057270384206,0.574787961033491
129,25.0,9.5929648241206,0.18506759405136,-0.54095178842545,0.5717331998132099,0.18045399871514395,-0.5375448373357306,0.5670256588537966
130,25.0,9.6130653266332,0.17709252238274,-0.53532767295837,0.563859449613913,0.17266759129578596,-0.5318675948360592,0.5591933793604704
131,25.0,9.6331658291457,0.16926178336143,-0.529560983181,0.5559535827875552,0.16497946859926943,-0.5260264676015414,0.5512912748054813
132,25.0,9.6532663316583,0.16143903136253,-0.52357113361359,0.5478953301504692,0.15739322460782812,-0.5200223384350194,0.5433192980411022
133,25.0,9.6733668341709,0.153659760952,-0.51736360788345,0.5397003102630256,0.14991219214233742,-0.5138560177149064,0.535277192018064
134,25.0,9.6934673366834,0.14598986506462,-0.51098793745041,0.531433639245212,0.14253945070810525,-0.5075282503967612,0.5271645093886403
135,25.0,9.713567839196,0.13841089606285,-0.50442218780518,0.5230672229255866,0.13527784770790946,-0.5010396910833901,0.5189806047642082
136,25.0,9.7336683417085,0.13088725507259,-0.49763154983521,0.5145567344150015,0.1281300239752478,-0.49439091068921315,0.5107246573409269
137,25.0,9.7537688442211,0.12350178509951,-0.49068373441696,0.5059873695500109,0.12109842801071796,-0.48758239220907945,0.502395679180261
138,25.0,9.7738693467337,0.11622783541679,-0.48354730010033,0.4973197172443407,0.11418535970883081,-0.4806145201503789,0.4939925235782563
139,25.0,9.7939698492462,0.10907126218081,-0.47622245550156,0.48855334136371464,0.10739298517905788,-0.47348760497028464,0.4855139187769653
140,25.0,9.8140703517588,0.10204046219587,-0.46872121095657,0.4796997285028835,0.10072338536655406,-0.46620187231980637,0.47695847420314524
141,25.0,9.8341708542714,0.09512832760811,-0.46102821826935,0.4707402858839758,0.09417857447976224,-0.45875748455316007,0.46832470949607496
142,25.0,9.8542713567839,0.08835531026125,-0.4531537592411,0.46168711306002747,0.08776054967377989,-0.45115456237520407,0.45961108910796084
143,25.0,9.8743718592965,0.08167044073343,-0.44506332278252,0.4524946653561899,0.08147132200684659,-0.4433931941868729,0.45081603893470923
144,25.0,9.894472361809,0.07518404722214,-0.43683612346649,0.443258885666076,0.07531296217307998,-0.43547346495203054,0.44193798314764837
145,25.0,9.9145728643216,0.06885397434235,-0.42843553423882,0.43393303259977817,0.06928762541187206,-0.42739550388118197,0.4329753939579769
146,25.0,9.9346733668342,0.06263614445925,-0.41983324289322,0.424479962343286,0.06339760579801024,-0.4191594760904745,0.42392678945468987
147,25.0,9.9547738693467,0.05663340911269,-0.4111031293869,0.41498569375272154,0.05764536602836762,-0.41076566461175545,0.4147908140840171
148,25.0,9.9748743718593,0.0508040189743,-0.40221163630486,0.40540750945557735,0.05203356673675463,-0.40221449763251527,0.4055662636032797
149,25.0,9.9949748743719,0.04511190950871,-0.39313688874245,0.3957166886417801,0.046565117353951024,-0.3935065890288282,0.396252123985841
150,25.0,10.015075376884,0.03964657336473,-0.3839450776577,0.38598662339146184,0.041243194324931176,-0.3846427816834386,0.38684760640244037
151,25.0,10.035175879397,0.03433796390891,-0.37458002567291,0.376150623286108,0.03607127540722643,-0.37562422609598745,0.37735221761600063
152,25.0,10.05527638191,0.02926034666598,-0.36510890722275,0.3662795135144798,0.03105316050867113,-0.3664524089109095,0.3677657770567916
153,25.0,10.075376884422,0.02438470721245,-0.35550507903099,0.35634039226934033,0.026192995724271306,-0.35712922105026496,0.358088471683997
154,25.0,10.095477386935,0.01968500576913,-0.34575182199478,0.34631174087062183,0.02149528816945917,-0.34765702742607196,0.3483209096971077
155,25.0,10.115577889447,0.01522792968899,-0.3359067440033,0.3362517368126317,0.016964909368426706,-0.33803869863642927,0.3384641338837685
156,25.0,10.13567839196,0.0109845912084,-0.32594746351242,0.3261325040749481,0.012607112629801576,-0.32827769849025645,0.3285196898435773
157,25.0,10.155778894472,0.0069380053319,-0.31586790084839,0.3159440879401826,0.008427510985094144,-0.3183781299183709,0.31848964904957733
158,25.0,10.175879396985,0.00310685764998,-0.30564984679222,0.30566563661714546,0.004432081107008268,-0.30834478816915883,0.3083766394103524
159,25.0,10.195979899497,-0.00046661600936,-0.29539918899536,0.29539955753117947,0.0006271448008798863,-0.2981832153971391,0.29818387490804715
160,25.0,10.21608040201,-0.00382365728728,-0.2850581407547,0.28508378411543667,-0.002980670238154237,-0.28789975023368375,0.28791517948813694
